Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1967,Wheat,68000,7926,53900
Bangladesh,1967,Roots and Tubers,129100,1333500,103292
Bangladesh,1967,Vegetables Primary,175876,1110950,63167
Bangladesh,1968,Areca nuts,38000,28449,7487
Bangladesh,1968,Bananas,43284,767100,177225
Bangladesh,1968,Barley,24700,16300,6599
Bangladesh,1968,"Bastfibres, others",25205,26926,10683
Bangladesh,1968,"Beans, dry",78834,60765,7708
Bangladesh,1968,"Beans, green",4192,21616,51565
Bangladesh,1968,Berries nes,600,3300,55000
Bangladesh,1968,Cabbages and other brassicas,5665,45634,80554
Bangladesh,1968,Castor oil seed,425,264,6212
Bangladesh,1968,Cauliflowers and broccoli,5325,37628,70663
Bangladesh,1968,Chick peas,61500,47800,7772
Bangladesh,1968,"Chillies and peppers, dry",86200,59900,6949
Bangladesh,1968,Coconuts,25326,80258,31690
Bangladesh,1968,Cucumbers and gherkins,2493,15211,61015
Bangladesh,1968,Fibre crops nes,297,268,9024
Bangladesh,1968,"Fruit, fresh nes",9300,60000,64516
Bangladesh,1968,"Fruit, tropical fresh nes",17000,219500,129118
Bangladesh,1968,Garlic,14600,54900,37603
Bangladesh,1968,Ginger,5000,34000,68000
Bangladesh,1968,Grapefruit (inc. pomelos),700,3000,42857
Bangladesh,1968,"Groundnuts, with shell",33600,52800,15714
Bangladesh,1968,Jute,897000,1055160,11763
Bangladesh,1968,Lemons and limes,1500,4000,26667
Bangladesh,1968,Lentils,68400,47800,6988
Bangladesh,1968,Lettuce and chicory,12000,68000,56667
Bangladesh,1968,Linseed,15000,7100,4733
Bangladesh,1968,Maize,3200,3000,9375
Bangladesh,1968,"Mangoes, mangosteens, guavas",39000,568000,145641
Bangladesh,1968,"Melons, other (inc.cantaloupes)",6600,110000,166667
Bangladesh,1968,Millet,82419,65816,7986
Bangladesh,1968,Oilseeds nes,3642,2032,5579
Bangladesh,1968,"Onions, dry",34400,198100,57587
Bangladesh,1968,Oranges,1100,10000,90909
Bangladesh,1968,"Peas, dry",65000,43000,6615
Bangladesh,1968,Pigeon peas,3642,3048,8369
Bangladesh,1968,Pineapples,10500,96500,91905
Bangladesh,1968,Potatoes,76100,712300,93601
Bangladesh,1968,Pulses nes,109300,88400,8088
Bangladesh,1968,"Rice, paddy",9742100,17015504,17466
Bangladesh,1968,Sesame seed,53000,31500,5943
Bangladesh,1968,Sorghum,1078,508,4712
Bangladesh,1968,Spices nes,11700,30500,26068
Bangladesh,1968,Spinach,1500,6800,45333
Bangladesh,1968,Sugar cane,166700,7710800,462555
Bangladesh,1968,Sugar crops nes,13800,500000,362319
Bangladesh,1968,Sweet potatoes,66800,772000,115569
Bangladesh,1968,"Tangerines, mandarins, clementines, satsumas",700,4000,57143
Bangladesh,1968,Tea,42443,28500,6715
Bangladesh,1968,Tobacco,45300,39100,8631
Bangladesh,1968,Tomatoes,7931,67251,84795
Bangladesh,1968,"Vegetables, fresh nes",75000,530000,70667
Bangladesh,1968,Wheat,77700,7580,58900
Bangladesh,1968,Roots and Tubers,142900,1484300,103870
Bangladesh,1968,Vegetables Primary,177948,1160427,65212
Bangladesh,1969,Areca nuts,40900,26400,6455
Bangladesh,1969,Bananas,43083,744744,172863
Bangladesh,1969,Barley,28300,18300,6466
Bangladesh,1969,"Bastfibres, others",38731,44283,11433
Bangladesh,1969,"Beans, dry",78951,61979,7850
Bangladesh,1969,"Beans, green",4150,23171,55834
Bangladesh,1969,Berries nes,591,2852,48257
Bangladesh,1969,Cabbages and other brassicas,5969,50457,84532
Bangladesh,1969,Castor oil seed,426,269,6315
Bangladesh,1969,Cauliflowers and broccoli,5590,40942,73242
Bangladesh,1969,Chick peas,68400,54900,8026
Bangladesh,1969,"Chillies and peppers, dry",87400,62000,7094
Bangladesh,1969,Coconuts,25781,83021,32202
Bangladesh,1969,Cucumbers and gherkins,2573,16231,63082
Bangladesh,1969,Fibre crops nes,259,197,7606
Bangladesh,1969,"Fruit, fresh nes",9340,61832,66201
Bangladesh,1969,"Fruit, tropical fresh nes",18000,216400,120222
Bangladesh,1969,Garlic,14600,54900,37603
Bangladesh,1969,Ginger,5030,36867,73294
Bangladesh,1969,Grapefruit (inc. pomelos),700,3000,42857
Bangladesh,1969,"Groundnuts, with shell",32400,52800,16296
Bangladesh,1969,Jute,976000,1340820,13738
Bangladesh,1969,Lemons and limes,1500,4000,26667
Bangladesh,1969,Lentils,71600,51800,7235
Bangladesh,1969,Lettuce and chicory,12897,72084,55892
Bangladesh,1969,Linseed,14600,7100,4863
Bangladesh,1969,Maize,3200,3000,9375
Bangladesh,1969,"Mangoes, mangosteens, guavas",40076,451294,112610
Bangladesh,1969,"Melons, other (inc.cantaloupes)",6574,110241,167692
Bangladesh,1969,Millet,81414,64794,7959
Bangladesh,1969,Oilseeds nes,5665,1829,3229
Bangladesh,1969,"Onions, dry",33200,185900,55994
Bangladesh,1969,Oranges,1500,10200,68000
Bangladesh,1969,"Peas, dry",68000,45000,6618
Bangladesh,1969,Pigeon peas,3731,3050,8175
Bangladesh,1969,Pineapples,10900,105700,96972
Bangladesh,1969,Potatoes,84200,799600,94964
Bangladesh,1969,Pulses nes,149080,122610,8224
Bangladesh,1969,"Rice, paddy",10314000,18007296,17459
Bangladesh,1969,Sesame seed,50200,30500,6076
Bangladesh,1969,Sorghum,1086,508,4678
Bangladesh,1969,Spices nes,29716,52848,17784
Bangladesh,1969,Spinach,1550,7000,45161
Bangladesh,1969,Sugar cane,164700,7414100,450158
Bangladesh,1969,Sugar crops nes,14634,537755,367470
Bangladesh,1969,Sweet potatoes,69969,805926,115183
Bangladesh,1969,"Tangerines, mandarins, clementines, satsumas",702,4775,68020
Bangladesh,1969,Tea,43302,30318,7002
Bangladesh,1969,Tobacco,45700,40600,8884
Bangladesh,1969,Tomatoes,8486,77596,91440
Bangladesh,1969,"Vegetables, fresh nes",64047,475623,74262
Bangladesh,1969,Wheat,117400,7964,93500
Bangladesh,1969,Roots and Tubers,154169,1605526,104141
Bangladesh,1969,Vegetables Primary,168499,1128965,67001
Bangladesh,1970,Areca nuts,40100,26385,6580
Bangladesh,1970,Bananas,39204,593400,151362
Bangladesh,1970,Barley,29500,19300,6542
Bangladesh,1970,"Bastfibres, others",27305,28380,10394
Bangladesh,1970,"Beans, dry",75392,61098,8104
Bangladesh,1970,"Beans, green",4549,25203,55403
Bangladesh,1970,Berries nes,600,2400,40000
Bangladesh,1970,Cabbages and other brassicas,6127,51371,83844
Bangladesh,1970,Castor oil seed,439,284,6469
Bangladesh,1970,Cauliflowers and broccoli,5696,42232,74143
Bangladesh,1970,Chick peas,70000,57900,8271
Bangladesh,1970,"Chillies and peppers, dry",89000,67100,7539
Bangladesh,1970,Coconuts,24943,56675,22722
Bangladesh,1970,Cucumbers and gherkins,2736,17390,63560
Bangladesh,1970,Fibre crops nes,263,198,7529
Bangladesh,1970,"Fruit, fresh nes",10216,63498,62155
Bangladesh,1970,"Fruit, tropical fresh nes",17500,209300,119600
Bangladesh,1970,Garlic,14200,54900,38662
Bangladesh,1970,Ginger,5042,37362,74102
Bangladesh,1970,Grapefruit (inc. pomelos),700,3000,42857
