Area,Year,Item,Area Harvested,Production,Yeild
Bangladesh,Y1971,Cabbages and other brassicas,6119,51773,84610
Bangladesh,Y1972,Cabbages and other brassicas,5192,41048,79060
Bangladesh,Y1973,Cabbages and other brassicas,4927,35973,73012
Bangladesh,Y1974,Cabbages and other brassicas,5006,36674,73260
Bangladesh,Y1975,Cabbages and other brassicas,5783,44051,76173
Bangladesh,Y1976,Cabbages and other brassicas,5917,44746,75623
Bangladesh,Y1977,Cabbages and other brassicas,5739,43162,75208
Bangladesh,Y1978,Cabbages and other brassicas,5743,45753,79667
Bangladesh,Y1979,Cabbages and other brassicas,6192,47805,77204
Bangladesh,Y1980,Cabbages and other brassicas,6297,49333,78344
Bangladesh,Y1981,Cabbages and other brassicas,6696,52247,78027
Bangladesh,Y1982,Cabbages and other brassicas,6960,55334,79503
Bangladesh,Y1983,Cabbages and other brassicas,7315,58095,79419
Bangladesh,Y1984,Cabbages and other brassicas,7430,60855,81904
Bangladesh,Y1985,Cabbages and other brassicas,7555,63805,84454
Bangladesh,Y1986,Cabbages and other brassicas,7405,63320,85510
Bangladesh,Y1987,Cabbages and other brassicas,7270,61415,84477
Bangladesh,Y1988,Cabbages and other brassicas,7436,64265,86424
Bangladesh,Y1989,Cabbages and other brassicas,7523,60170,79981
Bangladesh,Y1990,Cabbages and other brassicas,8110,65570,80851
Bangladesh,Y1991,Cabbages and other brassicas,8033,69620,86667
Bangladesh,Y1992,Cabbages and other brassicas,8466,71070,83948
Bangladesh,Y1993,Cabbages and other brassicas,8903,76040,85409
Bangladesh,Y1994,Cabbages and other brassicas,9186,81390,88602
Bangladesh,Y1995,Cabbages and other brassicas,9684,90795,93758
Bangladesh,Y1996,Cabbages and other brassicas,10087,97440,96600
Bangladesh,Y1997,Cabbages and other brassicas,10329,106655,103258
Bangladesh,Y1998,Cabbages and other brassicas,11008,112860,102525
Bangladesh,Y1999,Cabbages and other brassicas,11331,115000,101491
Bangladesh,Y2000,Cabbages and other brassicas,11331,112000,98844
Bangladesh,Y2001,Cabbages and other brassicas,11745,115000,97914
Bangladesh,Y2002,Cabbages and other brassicas,11741,119000,101354
Bangladesh,Y2003,Cabbages and other brassicas,11945,117885,98690
Bangladesh,Y2004,Cabbages and other brassicas,12735,128600,100982
Bangladesh,Y2005,Cabbages and other brassicas,13581,142405,104856
Bangladesh,Y2006,Cabbages and other brassicas,14973,176000,117545
Bangladesh,Y2007,Cabbages and other brassicas,15281,182685,119550
Bangladesh,Y2008,Cabbages and other brassicas,16225,211097,130106
Bangladesh,Y2009,Cabbages and other brassicas,16507,205627,124570
Bangladesh,Y2010,Cabbages and other brassicas,16666,219958,131980
Bangladesh,Y2011,Cabbages and other brassicas,15789,206891,131035
Bangladesh,Y2012,Cabbages and other brassicas,16704,212960,127490
Bangladesh,Y2013,Cabbages and other brassicas,16187,200000,123556
Bangladesh,Y2014,Cabbages and other brassicas,16187,217000,134058
Bangladesh,Y2015,Cabbages and other brassicas,19718,258608,131153
Bangladesh,Y2016,Cabbages and other brassicas,17944,295744,164815
Bangladesh,Y2017,Cabbages and other brassicas,18486,311650,168587
Bangladesh,Y2018,Cabbages and other brassicas,18546,321719,173471
Bangladesh,Y2019,Cabbages and other brassicas,19182,331020,172568
Bangladesh,Y1961,Castor oil seed,405,203,5012
Bangladesh,Y1962,Castor oil seed,405,203,5012
Bangladesh,Y1963,Castor oil seed,405,203,5012
Bangladesh,Y1964,Castor oil seed,405,203,5012
Bangladesh,Y1965,Castor oil seed,405,203,5012
Bangladesh,Y1966,Castor oil seed,405,203,5012
Bangladesh,Y1967,Castor oil seed,405,203,5012
Bangladesh,Y1968,Castor oil seed,425,264,6212
Bangladesh,Y1969,Castor oil seed,426,269,6315
Bangladesh,Y1970,Castor oil seed,439,284,6469
Bangladesh,Y1971,Castor oil seed,389,243,6247
Bangladesh,Y1972,Castor oil seed,350,202,5771
Bangladesh,Y1973,Castor oil seed,346,202,5838
Bangladesh,Y1974,Castor oil seed,276,150,5435
Bangladesh,Y1975,Castor oil seed,282,166,5887
Bangladesh,Y1976,Castor oil seed,344,189,5494
Bangladesh,Y1977,Castor oil seed,372,215,5780
Bangladesh,Y1978,Castor oil seed,372,203,5457
Bangladesh,Y1979,Castor oil seed,350,198,5657
