FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1999-2000,Khagrachari,10110,10200
1999-2000,Noakhali,256650,326330
1999-2000,Rangamati,13110,12930
1999-2000,Sylhet,783590,709800
1999-2000,Dhaka,573180,736570
1999-2000,Faridpur,323200,456050
1999-2000,Jamalpur,349460,419870
1999-2000,Kishoregonj,791260,960670
1999-2000,Mymensingh,478340,602130
1999-2000,Tangail,323240,388080
1999-2000,Barisal,159660,206120
1999-2000,Jessore,616730,811770
1999-2000,Khulna,205900,234800
1999-2000,Kushtia,174110,242990
1999-2000,Patuakhali,3230,3730
1999-2000,Bogra,583460,708770
1999-2000,Dinajpur,493730,547180
1999-2000,Pabna,361850,458180
1999-2000,Rajshahi,728620,955430
1999-2000,Rangpur,801070,1015910
2000-2001,Bandarban,6190,6480
2000-2001,Chittagong,327860,360410
2000-2001,Comilla,675310,876830
2000-2001,Khagrachari,11170,10380
2000-2001,Noakhali,260080,322210
2000-2001,Rangamati,16620,16180
2000-2001,Sylhet,784310,837900
2000-2001,Dhaka,583020,809320
2000-2001,Faridpur,360090,533260
2000-2001,Jamalpur,356940,444880
2000-2001,Kishoregonj,675740,885010
2000-2001,Mymensingh,525980,698110
2000-2001,Tangail,345060,421440
2000-2001,Barisal,175530,226300
2000-2001,Jessore,633640,897400
2000-2001,Khulna,209550,246830
2000-2001,Kushtia,186780,257260
2000-2001,Patuakhali,2010,1420
2000-2001,Bogra,588200,719120
2000-2001,Dinajpur,492910,613610
2000-2001,Pabna,420910,572210
2000-2001,Rajshahi,796040,1061600
2000-2001,Rangpur,861950,1102780
2001-2002,Bandarban,6190,6720
2001-2002,Chittagong,272930,307470
2001-2002,Comilla,743890,965880
2001-2002,Khagrachari,10940,11280
2001-2002,Noakhali,271420,338390
2001-2002,Rangamati,16090,15770
2001-2002,Sylhet,840870,883100
2001-2002,Dhaka,585640,849220
2001-2002,Faridpur,344120,511820
2001-2002,Jamalpur,369400,447960
2001-2002,Kishoregonj,682230,843070
2001-2002,Mymensingh,474150,622200
2001-2002,Tangail,346470,486310
2001-2002,Barisal,187570,215460
2001-2002,Jessore,607260,866360
2001-2002,Khulna,200670,218190
2001-2002,Kushtia,187190,254060
2001-2002,Patuakhali,2730,1810
2001-2002,Bogra,603890,772260
2001-2002,Dinajpur,497490,581610
2001-2002,Pabna,407460,541710
2001-2002,Rajshahi,804960,1054990
2001-2002,Rangpur,855780,969860
2002-2003,Bandarban,4660,5370
2002-2003,Chittagong,276510,336580
2002-2003,Comilla,819520,1031060
2002-2003,Khagrachari,11010,11430
2002-2003,Noakhali,280340,361020
2002-2003,Rangamati,15810,16100
2002-2003,Sylhet,812730,870680
2002-2003,Dhaka,604270,863620
2002-2003,Faridpur,363350,551160
2002-2003,Jamalpur,376550,449090
2002-2003,Kishoregonj,693540,857550
2002-2003,Mymensingh,465660,628150
2002-2003,Tangail,343500,506610
2002-2003,Barisal,188410,218990
2002-2003,Jessore,601870,866800
2002-2003,Khulna,204420,240450
2002-2003,Kushtia,186620,256630
2002-2003,Patuakhali,2520,1510
2002-2003,Bogra,651960,854410
2002-2003,Dinajpur,487880,581670
2002-2003,Pabna,420720,558960
2002-2003,Rajshahi,840880,1121930
2002-2003,Rangpur,848260,1032080
2003-2004,Bandarban,0,5200
2003-2004,Chittagong,280980,322320
2003-2004,Comilla,828660,1087310
2003-2004,Khagrachari,12000,13580
2003-2004,Noakhali,247180,309860
2003-2004,Rangamati,17050,21960
2003-2004,Sylhet,767150,759550
2003-2004,Dhaka,597900,866170
2003-2004,Faridpur,473970,737990
