DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Joypurhat,2008-2009,168045,159470
Joypurhat,2009-2010,167194,159333
Joypurhat,2010-2011,168220,171699
Joypurhat,2011-2012,168032,169416
Joypurhat,2012-2013,167731,180487
Joypurhat,2013-2014,166687,186971
Joypurhat,2014-2015,166204,188077
Khagrachari,1979-1980,0,0
Khagrachari,1980-1981,0,0
Khagrachari,1981-1982,0,0
Khagrachari,1982-1983,0,0
Khagrachari,1983-1984,0,0
Khagrachari,1984-1985,27540,22465
Khagrachari,1985-1986,36175,29845
Khagrachari,1986-1987,26625,20435
Khagrachari,1987-1988,23455,19580
Khagrachari,1988-1989,23390,18555
Khagrachari,1989-1990,22050,18800
Khagrachari,1990-1991,24860,24710
Khagrachari,1991-1992,22560,17290
Khagrachari,1992-1993,22770,18310
Khagrachari,1993-1994,23550,21900
Khagrachari,1994-1995,21820,20010
Khagrachari,1995-1996,22310,20540
Khagrachari,1996-1997,22200,20560
Khagrachari,1997-1998,19030,18490
Khagrachari,1998-1999,17510,15730
Khagrachari,1999-2000,26620,23800
Khagrachari,2000-2001,36690,36360
Khagrachari,2001-2002,43770,43770
Khagrachari,2002-2003,48570,47080
Khagrachari,2003-2004,56760,63740
Khagrachari,2004-2005,49352,54472
Khagrachari,2005-2006,57594,61935
Khagrachari,2006-2007,58020,58698
Khagrachari,2007-2008,71655,61395
Khagrachari,2008-2009,72520,75935
Khagrachari,2009-2010,77761,87202
Khagrachari,2010-2011,75644,88001
Khagrachari,2011-2012,76231,89607
Khagrachari,2012-2013,76139,91560
Khagrachari,2013-2014,67204,78135
Khagrachari,2014-2015,68359,78366
Khulna,1969-1970,1007020,437665
Khulna,1970-1971,927445,255935
Khulna,1971-1972,761105,217995
Khulna,1972-1973,837565,247690
Khulna,1973-1974,913040,377210
Khulna,1974-1975,887195,403025
Khulna,1975-1976,972010,481750
Khulna,1976-1977,964425,471210
Khulna,1977-1978,960385,485360
Khulna,1978-1979,922595,475495
Khulna,1979-1980,977685,495335
Khulna,1980-1981,989470,508675
Khulna,1981-1982,985225,465370
Khulna,1982-1983,989970,493190
Khulna,1983-1984,1003265,520440
Khulna,1984-1985,1011125,622720
Khulna,1985-1986,1039360,607875
Khulna,1986-1987,1010110,497020
Khulna,1987-1988,905605,524560
